Vivado Simulator 2019.1
Time resolution is 1 ps
Block Memory Generator module testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_4_3 collision detected at time: 35535000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1d, B read address: 1d
blk_mem_gen_v8_4_3 collision detected at time: 35695000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1e, B read address: 1e
blk_mem_gen_v8_4_3 collision detected at time: 35775000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1e, B read address: 1e
blk_mem_gen_v8_4_3 collision detected at time: 35855000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1e, B read address: 1e
blk_mem_gen_v8_4_3 collision detected at time: 35935000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1e, B read address: 1e
blk_mem_gen_v8_4_3 collision detected at time: 36015000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1e, B read address: 1e
blk_mem_gen_v8_4_3 collision detected at time: 36095000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1e, B read address: 1e
blk_mem_gen_v8_4_3 collision detected at time: 36175000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1e, B read address: 1e
blk_mem_gen_v8_4_3 collision detected at time: 36255000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1e, B read address: 1e
blk_mem_gen_v8_4_3 collision detected at time: 36335000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1e, B read address: 1e
blk_mem_gen_v8_4_3 collision detected at time: 36415000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1e, B read address: 1e
blk_mem_gen_v8_4_3 collision detected at time: 36495000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1e, B read address: 1e
blk_mem_gen_v8_4_3 collision detected at time: 36575000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1e, B read address: 1e
blk_mem_gen_v8_4_3 collision detected at time: 36655000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1e, B read address: 1e
blk_mem_gen_v8_4_3 collision detected at time: 36735000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1e, B read address: 1e
blk_mem_gen_v8_4_3 collision detected at time: 36815000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1e, B read address: 1e
blk_mem_gen_v8_4_3 collision detected at time: 36975000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1f, B read address: 1f
blk_mem_gen_v8_4_3 collision detected at time: 37055000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1f, B read address: 1f
blk_mem_gen_v8_4_3 collision detected at time: 37135000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1f, B read address: 1f
blk_mem_gen_v8_4_3 collision detected at time: 37215000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1f, B read address: 1f
blk_mem_gen_v8_4_3 collision detected at time: 37295000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1f, B read address: 1f
blk_mem_gen_v8_4_3 collision detected at time: 37375000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1f, B read address: 1f
blk_mem_gen_v8_4_3 collision detected at time: 37455000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1f, B read address: 1f
blk_mem_gen_v8_4_3 collision detected at time: 37535000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1f, B read address: 1f
blk_mem_gen_v8_4_3 collision detected at time: 37615000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1f, B read address: 1f
blk_mem_gen_v8_4_3 collision detected at time: 37695000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1f, B read address: 1f
blk_mem_gen_v8_4_3 collision detected at time: 37775000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1f, B read address: 1f
blk_mem_gen_v8_4_3 collision detected at time: 37855000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1f, B read address: 1f
blk_mem_gen_v8_4_3 collision detected at time: 37935000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1f, B read address: 1f
blk_mem_gen_v8_4_3 collision detected at time: 38015000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1f, B read address: 1f
blk_mem_gen_v8_4_3 collision detected at time: 38095000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1f, B read address: 1f
blk_mem_gen_v8_4_3 collision detected at time: 38255000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 20, B read address: 20
blk_mem_gen_v8_4_3 collision detected at time: 38335000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 20, B read address: 20
blk_mem_gen_v8_4_3 collision detected at time: 38415000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 20, B read address: 20
blk_mem_gen_v8_4_3 collision detected at time: 38495000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 20, B read address: 20
blk_mem_gen_v8_4_3 collision detected at time: 38575000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 20, B read address: 20
blk_mem_gen_v8_4_3 collision detected at time: 38655000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 20, B read address: 20
blk_mem_gen_v8_4_3 collision detected at time: 38735000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 20, B read address: 20
blk_mem_gen_v8_4_3 collision detected at time: 38815000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 20, B read address: 20
blk_mem_gen_v8_4_3 collision detected at time: 38895000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 20, B read address: 20
blk_mem_gen_v8_4_3 collision detected at time: 38975000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 20, B read address: 20
blk_mem_gen_v8_4_3 collision detected at time: 39055000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 20, B read address: 20
blk_mem_gen_v8_4_3 collision detected at time: 39135000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 20, B read address: 20
